phase,transect,day,species,site,attacks
simultaneous,4,2,limenitis,17,0
simultaneous,4,2,limenitis,18,0
simultaneous,4,2,limenitis,19,0
simultaneous,4,2,limenitis,20,0
simultaneous,4,2,junonia,1,0
simultaneous,4,2,junonia,2,0
simultaneous,4,2,junonia,3,0
simultaneous,4,2,junonia,4,0
simultaneous,4,2,junonia,5,0
simultaneous,4,2,junonia,6,0
simultaneous,4,2,junonia,7,1
simultaneous,4,2,junonia,8,1
simultaneous,4,2,junonia,9,0
simultaneous,4,2,junonia,10,0
simultaneous,4,2,junonia,11,0
simultaneous,4,2,junonia,12,0
simultaneous,4,2,junonia,13,0
simultaneous,4,2,junonia,14,0
simultaneous,4,2,junonia,15,0
simultaneous,4,2,junonia,16,0
simultaneous,4,2,junonia,17,0
simultaneous,4,2,junonia,18,0
simultaneous,4,2,junonia,19,0
simultaneous,4,2,junonia,20,0
simultaneous,4,3,battus,1,0
simultaneous,4,3,battus,2,0
simultaneous,4,3,battus,3,0
simultaneous,4,3,battus,4,0
simultaneous,4,3,battus,5,0
simultaneous,4,3,battus,6,0
simultaneous,4,3,battus,7,0
simultaneous,4,3,battus,8,0
simultaneous,4,3,battus,9,0
simultaneous,4,3,battus,10,0
simultaneous,4,3,battus,11,0
simultaneous,4,3,battus,12,0
simultaneous,4,3,battus,13,0
simultaneous,4,3,battus,14,0
simultaneous,4,3,battus,15,0
simultaneous,4,3,battus,16,0
simultaneous,4,3,battus,17,0
simultaneous,4,3,battus,18,0
simultaneous,4,3,battus,19,1
simultaneous,4,3,battus,20,0
simultaneous,4,3,limenitis,1,0
simultaneous,4,3,limenitis,2,0
simultaneous,4,3,limenitis,3,0
simultaneous,4,3,limenitis,4,0
simultaneous,4,3,limenitis,5,0
simultaneous,4,3,limenitis,6,0
simultaneous,4,3,limenitis,7,0
simultaneous,4,3,limenitis,8,0
simultaneous,4,3,limenitis,9,0
simultaneous,4,3,limenitis,10,0
simultaneous,4,3,limenitis,11,0
simultaneous,4,3,limenitis,12,0
simultaneous,4,3,limenitis,13,0
simultaneous,4,3,limenitis,14,0
simultaneous,4,3,limenitis,15,0
simultaneous,4,3,limenitis,16,0
simultaneous,4,3,limenitis,17,0
simultaneous,4,3,limenitis,18,0
simultaneous,4,3,limenitis,19,1
simultaneous,4,3,limenitis,20,0
simultaneous,4,3,junonia,1,0
simultaneous,4,3,junonia,2,0
simultaneous,4,3,junonia,3,0
simultaneous,4,3,junonia,4,0
simultaneous,4,3,junonia,5,0
simultaneous,4,3,junonia,6,0
simultaneous,4,3,junonia,7,0
simultaneous,4,3,junonia,8,0
simultaneous,4,3,junonia,9,0
simultaneous,4,3,junonia,10,0
simultaneous,4,3,junonia,11,0
simultaneous,4,3,junonia,12,0
simultaneous,4,3,junonia,13,0
simultaneous,4,3,junonia,14,0
simultaneous,4,3,junonia,15,0
simultaneous,4,3,junonia,16,0
simultaneous,4,3,junonia,17,0
simultaneous,4,3,junonia,18,0
simultaneous,4,3,junonia,19,0
simultaneous,4,3,junonia,20,0
simultaneous,4,4,battus,1,0
simultaneous,4,4,battus,2,0
simultaneous,4,4,battus,3,1
simultaneous,4,4,battus,4,0
simultaneous,4,4,battus,5,1
simultaneous,4,4,battus,6,0
simultaneous,4,4,battus,7,0
simultaneous,4,4,battus,8,0
simultaneous,4,4,battus,9,0
simultaneous,4,4,battus,10,0
simultaneous,4,4,battus,11,0
simultaneous,4,4,battus,12,0
simultaneous,4,4,battus,13,0
simultaneous,4,4,battus,14,0
simultaneous,4,4,battus,15,0
simultaneous,4,4,battus,16,0
simultaneous,4,4,battus,17,0
simultaneous,4,4,battus,18,0
simultaneous,4,4,battus,19,0
simultaneous,4,4,battus,20,0
simultaneous,4,4,limenitis,1,0
simultaneous,4,4,limenitis,2,0
simultaneous,4,4,limenitis,3,1
simultaneous,4,4,limenitis,4,0
simultaneous,4,4,limenitis,5,0
simultaneous,4,4,limenitis,6,0
simultaneous,4,4,limenitis,7,0
simultaneous,4,4,limenitis,8,0
simultaneous,4,4,limenitis,9,0
simultaneous,4,4,limenitis,10,0
simultaneous,4,4,limenitis,11,0
simultaneous,4,4,limenitis,12,0
simultaneous,4,4,limenitis,13,0
simultaneous,4,4,limenitis,14,0
simultaneous,4,4,limenitis,15,0
simultaneous,4,4,limenitis,16,0
simultaneous,4,4,limenitis,17,0
simultaneous,4,4,limenitis,18,0
simultaneous,4,4,limenitis,19,0
simultaneous,4,4,limenitis,20,0
simultaneous,4,4,junonia,1,0
simultaneous,4,4,junonia,2,1
simultaneous,4,4,junonia,3,2
simultaneous,4,4,junonia,4,0
simultaneous,4,4,junonia,5,0
simultaneous,4,4,junonia,6,1
simultaneous,4,4,junonia,7,0
simultaneous,4,4,junonia,8,0
simultaneous,4,4,junonia,9,0
simultaneous,4,4,junonia,10,0
simultaneous,4,4,junonia,11,0
simultaneous,4,4,junonia,12,0
simultaneous,4,4,junonia,13,0
simultaneous,4,4,junonia,14,0
simultaneous,4,4,junonia,15,0
simultaneous,4,4,junonia,16,0
simultaneous,4,4,junonia,17,0
simultaneous,4,4,junonia,18,0
simultaneous,4,4,junonia,19,0
simultaneous,4,4,junonia,20,1
